chr3	13455460	13456463	1	1004
chrX	153191419	153193202	2	1784
chr3	5019749	5021462	3	1714
chr10	134261912	134262855	4	944
chr7	2568688	2570615	5	1928
chr2	8824762	8826250	6	1489
chr8	103818393	103820038	7	1646
chr3	170074236	170076226	8	1991
chr8	130603669	130604881	9	1213
chrX	153596676	153598184	10	1509
chr12	57915848	57917114	11	1267
chr2	8655103	8656668	12	1566
chr5	176873194	176874544	13	1351
chr16	67595636	67597349	14	1714
chr1	2165597	2166549	15	953
chr2	8674691	8676493	16	1803
chr10	73508352	73509210	17	859
chr6	35337751	35339119	18	1369
chr11	117959184	117959824	19	641
chr13	111188263	111189320	20	1058
chrX	129216249	129217338	21	1090
chr10	82258345	82259164	22	820
chr10	43470370	43471440	23	1071
chr8	145992780	145993964	24	1185
chr5	131801849	131802793	25	945
chr17	72775998	72776770	26	773
chr6	160113642	160115182	27	1541
chr3	50648839	50649883	28	1045
chr16	85645268	85645988	29	721
chr12	53573793	53575174	30	1382
chr12	57913937	57914841	31	905
chr11	62323010	62324623	32	1614
chr6	68598472	68599527	33	1056
chr1	45272930	45273946	34	1017
chr7	72935935	72937254	35	1320
chr19	45393590	45394684	36	1095
chr18	74766613	74767504	37	892
chr17	72732452	72734009	38	1558
chr11	64071789	64073750	39	1962
chr11	72852746	72854596	40	1851
chr5	169705509	169706554	41	1046
chr17	80199054	80200171	42	1118
chr8	134309022	134310394	43	1373
chr18	74813288	74814293	44	1006
chr10	43950468	43951660	45	1193
chr7	75246794	75247654	46	861
chr1	203642806	203643773	47	968
chr5	131628851	131631395	48	2545
chr8	130677963	130679239	49	1277
chr1	182228249	182229027	50	779
chr1	156426153	156427625	51	1473
chr11	67055461	67057168	52	1708
chr11	406604	407863	53	1260
chr1	234735440	234736439	54	1000
chr6	30649907	30650905	55	999
chr15	75335099	75336273	56	1175
chr13	114830510	114831730	57	1221
chr2	241505152	241506796	58	1645
chr1	169573735	169574682	59	948
chr17	16189125	16190179	60	1055
chr19	1811981	1813271	61	1291
chr19	1863533	1865005	62	1473
chr3	18024441	18025472	63	1032
chr7	48018611	48019468	64	858
chr5	67510793	67512562	65	1770
chr6	160240780	160241883	66	1104
chr5	10681372	10682989	67	1618
chr5	43338687	43339543	68	857
